Question,Answer
What is AI Bank?,"AI Bank is a next-generation digital bank headquartered in Manama, Kingdom of Bahrain. We combine cutting-edge AI technology with premium banking services to deliver a seamless, intelligent banking experience across the GCC region."
Where does AI Bank operate?,"AI Bank operates across 5 GCC countries: Bahrain, Saudi Arabia, United Arab Emirates, Egypt, and Kuwait. Our digital platform is accessible from anywhere, and we have branch presence in each country."
What makes AI Bank different from other banks?,"AI Bank is built AI-first. Every product and service is enhanced by artificial intelligence — from our 24/7 AI assistant Alma, to automated loan processing in under 30 seconds, to personalized financial recommendations powered by machine learning. We offer zero-fee accounts, instant transfers, and a premium digital experience."
What are AI Bank's core values?,"AI Bank is built on four pillars: Innovation (AI-powered everything), Trust (bank-grade security with data residency in Bahrain), Excellence (premium service and user experience), and Accessibility (banking for everyone, anywhere, anytime)."
Who is Alma?,"Alma is AI Bank's intelligent AI assistant available 24/7. Alma can answer questions about our products and services, help you open an account, check balances, make transfers, and provide personalized financial guidance. Alma is available via text chat and voice on our website and mobile app."
What types of accounts does AI Bank offer?,"AI Bank offers three account types: AI Premium (zero monthly fees, unlimited transactions, premium debit card, 24/7 AI support), AI Savings (high-yield savings at 3.5% APY, no minimum balance, auto-save features, goal-based saving), and AI Business (from BHD 10/month, multi-user access, expense management, dedicated support)."
How do I open an account with AI Bank?,"Opening an account is quick and easy. You can start by chatting with Alma on our website — just say 'I want to open an account' and Alma will guide you through our simple 3-step process: provide your details, verify your email, and your account is ready. The entire process takes less than 5 minutes."
Is there a minimum balance requirement?,"No, AI Bank's AI Premium and AI Savings accounts have zero minimum balance requirements. Our AI Business account requires a minimum balance of BHD 500."
What are the fees for AI Bank accounts?,"AI Premium accounts are free forever — zero monthly fees, zero transaction fees, and zero ATM withdrawal fees at partner ATMs. AI Savings accounts are also free. AI Business accounts start from BHD 10/month."
What currencies does AI Bank support?,"AI Bank supports multiple currencies across our GCC markets: Bahraini Dinar (BHD), Saudi Riyal (SAR), UAE Dirham (AED), Egyptian Pound (EGP), and Kuwaiti Dinar (KWD). Currency formatting follows local conventions with correct decimal places."
What personal loan products does AI Bank offer?,"AI Bank offers personal loans up to BHD 25,000 (or equivalent in local currency) with competitive rates starting from 3.9% APR. Our AI-powered loan processing delivers decisions in under 30 seconds using our proprietary 5Cs analysis engine."
How does the loan application process work?,"Our loan application is a simple 3-step process: Step 1 — enter your desired loan amount, duration, and purpose. Step 2 — upload your salary certificate and bank statement. Step 3 — review and submit. Our AI analyzes your application using the 5Cs framework (Character, Capacity, Capital, Collateral, Conditions) and delivers a decision in under 30 seconds."
What documents do I need for a loan application?,"You need two documents: your latest salary certificate and your most recent bank statement. Our AI-powered document extraction (Amazon BDA) automatically reads and validates these documents — no manual data entry required."
What are the loan interest rates?,"Personal loan rates vary by country and customer segment. Starting rates: Bahrain 7.5% APR, Saudi Arabia 8.0% APR, UAE 7.0% APR, Egypt 18.0% APR, Kuwait 6.5% APR. Your actual rate depends on your credit profile, salary, and employment type."
What is the maximum loan amount?,"Maximum loan amounts depend on your country and salary. In Bahrain, the maximum is typically 25x your monthly salary. In Saudi Arabia and UAE, it's 20x. In Egypt, 15x. In Kuwait, 25x. The absolute maximum is BHD 25,000 or equivalent."
